,name,generate_part1,generate_part2,generate_part3,update_link,type,rank
28,Supercopa_de_Espana,https://fbref.com/en/comps/646/,/schedule/,-league-Scores-and-Fixtures,https://fbref.com/en/comps/646/schedule/league-Scores-and-Fixtures,summer,29
29,Coupe_de_France,https://fbref.com/en/comps/518/,/schedule/,-Coupe-de-France-Scores-and-Fixtures,https://fbref.com/en/comps/518/schedule/Coupe-de-France-Scores-and-Fixtures,winter,30
30,Trophee_des_Champions,https://fbref.com/en/comps/604/,/schedule/,-league-Scores-and-Fixtures,https://fbref.com/en/comps/604/schedule/league-Scores-and-Fixtures,summer,31
31,Coupe_de_la_Ligue,https://fbref.com/en/comps/693/,/schedule/,-Coupe-de-la-Ligue-Scores-and-Fixtures,https://fbref.com/en/comps/693/schedule/Coupe-de-la-Ligue-Scores-and-Fixtures,winter,32
32,DFB_Pokal,https://fbref.com/en/comps/521/,/schedule/,-DFB-Pokal-Scores-and-Fixtures,https://fbref.com/en/comps/521/schedule/DFB-Pokal-Scores-and-Fixtures,winter,33
33,DFL_Supercup,https://fbref.com/en/comps/606/,/schedule/,-league-Scores-and-Fixtures,https://fbref.com/en/comps/606/schedule/league-Scores-and-Fixtures,summer,34
34,Coppa_Italia,https://fbref.com/en/comps/529/,/schedule/,-Coppa-Italia-Scores-and-Fixtures,https://fbref.com/en/comps/529/schedule/Coppa-Italia-Scores-and-Fixtures,winter,35
35,Supercoppa_Italiana,https://fbref.com/en/comps/612/,/schedule/,-league-Scores-and-Fixtures,https://fbref.com/en/comps/612/schedule/league-Scores-and-Fixtures,summer,36
36,UEFA_Super_Cup,https://fbref.com/en/comps/122/,/schedule/,-league-Scores-and-Fixtures,https://fbref.com/en/comps/122/schedule/league-Scores-and-Fixtures,summer,37
37,Copa_Sudamericana,https://fbref.com/en/comps/205/,/schedule/,-Copa-Sudamericana-Scores-and-Fixtures,https://fbref.com/en/comps/205/schedule/Copa-Sudamericana-Scores-and-Fixtures,summer,38
38,Copa_Libertadores,https://fbref.com/en/comps/14/,/schedule/,-Copa-Libertadores-Scores-and-Fixtures,https://fbref.com/en/comps/14/schedule/Copa-Libertadores-Scores-and-Fixtures,summer,39
39,FIFA_World_Cup,https://fbref.com/en/comps/1/,/schedule/,-World-Cup-Scores-and-Fixtures,https://fbref.com/en/comps/1/schedule/World-Cup-Scores-and-Fixtures,summer,40
40,Copa_America,https://fbref.com/en/comps/685/,/schedule/,-Copa-America-Scores-and-Fixtures,https://fbref.com/en/comps/685/schedule/Copa-America-Scores-and-Fixtures,summer,41
41,Africa_Cup_Of_Nations,https://fbref.com/en/comps/656/,/schedule/,-Africa-Cup-of-Nations-Scores-and-Fixtures,https://fbref.com/en/comps/656/schedule/league-Scores-and-Fixtures,summer,42
42,UEFA_European_Football_Championship,https://fbref.com/en/comps/676/,/schedule/,-European-Championship-Scores-and-Fixtures,https://fbref.com/en/comps/676/schedule/European-Championship-Scores-and-Fixtures,summer,43
43,UEFA_Nations_League,https://fbref.com/en/comps/677/,/schedule/,-UEFA-Nations-League-Scores-and-Fixtures,https://fbref.com/en/comps/677/schedule/UEFA-Nations-League-Scores-and-Fixtures,winter,44
44,AFC_Asian_Cup,https://fbref.com/en/comps/664/,/schedule/,-Asian-Cup-Scores-and-Fixtures,https://fbref.com/en/comps/664/schedule/league-Scores-and-Fixtures,summer,45
45,Copa_Liga_Profesional_Argentina,https://fbref.com/en/comps/905/,/schedule/,-Copa-de-la-Liga-Profesional-Scores-and-Fixtures,https://fbref.com/en/comps/905/schedule/Copa-de-la-Liga-Profesional-Scores-and-Fixtures,summer,46
46,Copa_Libertadores,https://fbref.com/en/comps/14/,/schedule/,-Copa-Libertadores-Scores-and-Fixtures,https://fbref.com/en/comps/14/schedule/Copa-Libertadores-Scores-and-Fixtures,summer,47
47,Copa_Sudamericana,https://fbref.com/en/comps/205/,/schedule/,-Copa-Sudamericana-Scores-and-Fixtures,https://fbref.com/en/comps/205/schedule/Copa-Sudamericana-Scores-and-Fixtures,summer,48
48,A-League,https://fbref.com/en/comps/65/,/schedule/,-A-League-Men-Scores-and-Fixtures,https://fbref.com/en/comps/65/schedule/A-League-Men-Scores-and-Fixtures,winter,49
49,Austrian_Bundesliga,https://fbref.com/en/comps/56/,/schedule/,-Austrian-Bundesliga-Scores-and-Fixtures,https://fbref.com/en/comps/56/schedule/Austrian-Bundesliga-Scores-and-Fixtures,winter,50
